Postsecondary Enrollment,,,,,,,
,,,,,,,
,,,,,,,
Year,Level,Division,School,Subgroup,Students earning a federally recognized high school diploma,Students enrolled in higher education within 16 months of graduation,Percent
2019,SCH,Cumberland County Public Schools,Cumberland High,Native Hawaiian,<,<,<
2019,SCH,Cumberland County Public Schools,Cumberland High,Students with Disabilities,<,<,<
2019,SCH,Cumberland County Public Schools,Cumberland High,White,51,25,49
2019,SCH,Danville City Public Schools,Galileo Magnet High,All Students,69,42,61
2019,SCH,Danville City Public Schools,Galileo Magnet High,Asian,<,<,<
2019,SCH,Danville City Public Schools,Galileo Magnet High,Black,33,18,55
2019,SCH,Danville City Public Schools,Galileo Magnet High,Economically Disadvantaged,27,12,44
2019,SCH,Danville City Public Schools,Galileo Magnet High,English Learners,<,<,<
2019,SCH,Danville City Public Schools,Galileo Magnet High,Female,39,24,62
2019,SCH,Danville City Public Schools,Galileo Magnet High,Hispanic,<,<,<
2019,SCH,Danville City Public Schools,Galileo Magnet High,Male,30,18,60
2019,SCH,Danville City Public Schools,Galileo Magnet High,Students with Disabilities,<,<,<
2019,SCH,Danville City Public Schools,Galileo Magnet High,White,25,16,64
2019,SCH,Danville City Public Schools,George Washington High,All Students,230,101,44
2019,SCH,Danville City Public Schools,George Washington High,American Indian,<,<,<
2019,SCH,Danville City Public Schools,George Washington High,Black,154,71,46
2019,SCH,Danville City Public Schools,George Washington High,Economically Disadvantaged,114,48,42
2019,SCH,Danville City Public Schools,George Washington High,English Learners,13,<,<
2019,SCH,Danville City Public Schools,George Washington High,Female,113,60,53
2019,SCH,Danville City Public Schools,George Washington High,Hispanic,24,<,<
2019,SCH,Danville City Public Schools,George Washington High,Male,117,41,35
2019,SCH,Danville City Public Schools,George Washington High,Multiple Races,<,<,<
2019,SCH,Danville City Public Schools,George Washington High,Students with Disabilities,33,10,30
2019,SCH,Danville City Public Schools,George Washington High,White,45,21,47
2019,SCH,Dickenson County Public Schools,Ridgeview High,All Students,135,70,52
2019,SCH,Dickenson County Public Schools,Ridgeview High,Economically Disadvantaged,79,29,37
2019,SCH,Dickenson County Public Schools,Ridgeview High,Female,71,47,66
2019,SCH,Dickenson County Public Schools,Ridgeview High,Hispanic,<,<,<
2019,SCH,Dickenson County Public Schools,Ridgeview High,Male,64,23,36
2019,SCH,Dickenson County Public Schools,Ridgeview High,Students with Disabilities,19,<,<
2019,SCH,Dickenson County Public Schools,Ridgeview High,White,133,70,53
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,All Students,305,160,52
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,American Indian,<,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Asian,<,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Black,118,66,56
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Economically Disadvantaged,134,57,43
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,English Learners,<,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Female,150,103,69
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Hispanic,15,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Male,155,57,37
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Multiple Races,<,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Native Hawaiian,<,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Students with Disabilities,35,<,<
2019,SCH,Dinwiddie County Public Schools,Dinwiddie County High,White,160,78,49
2019,SCH,Essex County Public Schools,Essex High,All Students,86,38,44
2019,SCH,Essex County Public Schools,Essex High,Asian,<,<,<
2019,SCH,Essex County Public Schools,Essex High,Black,38,13,34
2019,SCH,Essex County Public Schools,Essex High,Economically Disadvantaged,48,17,35
2019,SCH,Essex County Public Schools,Essex High,English Learners,<,<,<
2019,SCH,Essex County Public Schools,Essex High,Female,42,25,60
2019,SCH,Essex County Public Schools,Essex High,Hispanic,<,<,<
2019,SCH,Essex County Public Schools,Essex High,Male,44,13,30
2019,SCH,Essex County Public Schools,Essex High,Multiple Races,<,<,<
2019,SCH,Essex County Public Schools,Essex High,Students with Disabilities,<,<,<
2019,SCH,Essex County Public Schools,Essex High,White,34,19,56
2019,SCH,Fairfax County Public Schools,Annandale High,All Students,412,295,72
2019,SCH,Fairfax County Public Schools,Annandale High,Asian,99,89,90
2019,SCH,Fairfax County Public Schools,Annandale High,Black,70,53,76
2019,SCH,Fairfax County Public Schools,Annandale High,Economically Disadvantaged,242,154,64
2019,SCH,Fairfax County Public Schools,Annandale High,English Learners,159,85,53
2019,SCH,Fairfax County Public Schools,Annandale High,Female,202,152,75
2019,SCH,Fairfax County Public Schools,Annandale High,Hispanic,155,80,52
2019,SCH,Fairfax County Public Schools,Annandale High,Male,210,143,68
2019,SCH,Fairfax County Public Schools,Annandale High,Multiple Races,12,<,<
2019,SCH,Fairfax County Public Schools,Annandale High,Students with Disabilities,53,27,51
2019,SCH,Fairfax County Public Schools,Annandale High,White,76,64,84
2019,SCH,Fairfax County Public Schools,Bryant High,All Students,54,23,43
2019,SCH,Fairfax County Public Schools,Bryant High,Asian,10,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Black,11,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Economically Disadvantaged,30,12,40
2019,SCH,Fairfax County Public Schools,Bryant High,English Learners,19,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Female,29,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Hispanic,23,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Male,25,15,60
2019,SCH,Fairfax County Public Schools,Bryant High,Multiple Races,<,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,Students with Disabilities,<,<,<
2019,SCH,Fairfax County Public Schools,Bryant High,White,<,<,<
2019,SCH,Fairfax County Public Schools,Centreville High,All Students,584,472,81
2019,SCH,Fairfax County Public Schools,Centreville High,Asian,200,185,93
2019,SCH,Fairfax County Public Schools,Centreville High,Black,60,47,78
2019,SCH,Fairfax County Public Schools,Centreville High,Economically Disadvantaged,162,112,69
2019,SCH,Fairfax County Public Schools,Centreville High,English Learners,103,65,63
2019,SCH,Fairfax County Public Schools,Centreville High,Female,266,227,85
2019,SCH,Fairfax County Public Schools,Centreville High,Hispanic,121,72,60
2019,SCH,Fairfax County Public Schools,Centreville High,Male,318,245,77
2019,SCH,Fairfax County Public Schools,Centreville High,Multiple Races,22,19,86
2019,SCH,Fairfax County Public Schools,Centreville High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Centreville High,Students with Disabilities,62,36,58
2019,SCH,Fairfax County Public Schools,Centreville High,White,178,148,83
2019,SCH,Fairfax County Public Schools,Chantilly High,All Students,644,567,88
2019,SCH,Fairfax County Public Schools,Chantilly High,Asian,259,238,92
2019,SCH,Fairfax County Public Schools,Chantilly High,Black,48,40,83
2019,SCH,Fairfax County Public Schools,Chantilly High,Economically Disadvantaged,106,90,85
2019,SCH,Fairfax County Public Schools,Chantilly High,English Learners,59,43,73
2019,SCH,Fairfax County Public Schools,Chantilly High,Female,319,290,91
2019,SCH,Fairfax County Public Schools,Chantilly High,Hispanic,69,55,80
2019,SCH,Fairfax County Public Schools,Chantilly High,Male,325,277,85
2019,SCH,Fairfax County Public Schools,Chantilly High,Multiple Races,22,17,77
2019,SCH,Fairfax County Public Schools,Chantilly High,Students with Disabilities,82,57,70
2019,SCH,Fairfax County Public Schools,Chantilly High,White,246,217,88
2019,SCH,Fairfax County Public Schools,Edison High,All Students,483,359,74
2019,SCH,Fairfax County Public Schools,Edison High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Edison High,Asian,75,71,95
2019,SCH,Fairfax County Public Schools,Edison High,Black,108,83,77
2019,SCH,Fairfax County Public Schools,Edison High,Economically Disadvantaged,182,118,65
2019,SCH,Fairfax County Public Schools,Edison High,English Learners,100,58,58
2019,SCH,Fairfax County Public Schools,Edison High,Female,241,195,81
2019,SCH,Fairfax County Public Schools,Edison High,Hispanic,147,83,56
2019,SCH,Fairfax County Public Schools,Edison High,Male,242,164,68
2019,SCH,Fairfax County Public Schools,Edison High,Multiple Races,24,19,79
2019,SCH,Fairfax County Public Schools,Edison High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Edison High,Students with Disabilities,44,20,45
2019,SCH,Fairfax County Public Schools,Edison High,White,123,97,79
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,All Students,19,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Asian,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Black,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Economically Disadvantaged,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,English Learners,12,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Female,13,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Hispanic,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Male,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,Multiple Races,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax County Adult High,White,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax High,All Students,572,466,81
2019,SCH,Fairfax County Public Schools,Fairfax High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Fairfax High,Asian,143,124,87
2019,SCH,Fairfax County Public Schools,Fairfax High,Black,44,33,75
2019,SCH,Fairfax County Public Schools,Fairfax High,Economically Disadvantaged,114,80,70
2019,SCH,Fairfax County Public Schools,Fairfax High,English Learners,82,51,62
2019,SCH,Fairfax County Public Schools,Fairfax High,Female,281,234,83
2019,SCH,Fairfax County Public Schools,Fairfax High,Hispanic,108,69,64
2019,SCH,Fairfax County Public Schools,Fairfax High,Male,291,232,80
2019,SCH,Fairfax County Public Schools,Fairfax High,Multiple Races,31,26,84
2019,SCH,Fairfax County Public Schools,Fairfax High,Students with Disabilities,56,37,66
2019,SCH,Fairfax County Public Schools,Fairfax High,White,245,214,87
2019,SCH,Fairfax County Public Schools,Falls Church High,All Students,409,290,71
2019,SCH,Fairfax County Public Schools,Falls Church High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Falls Church High,Asian,96,83,86
2019,SCH,Fairfax County Public Schools,Falls Church High,Black,34,25,74
2019,SCH,Fairfax County Public Schools,Falls Church High,Economically Disadvantaged,203,120,59
2019,SCH,Fairfax County Public Schools,Falls Church High,English Learners,146,76,52
2019,SCH,Fairfax County Public Schools,Falls Church High,Female,192,142,74
2019,SCH,Fairfax County Public Schools,Falls Church High,Hispanic,184,100,54
2019,SCH,Fairfax County Public Schools,Falls Church High,Male,217,148,68
2019,SCH,Fairfax County Public Schools,Falls Church High,Multiple Races,14,10,71
2019,SCH,Fairfax County Public Schools,Falls Church High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Falls Church High,Students with Disabilities,65,34,52
2019,SCH,Fairfax County Public Schools,Falls Church High,White,78,69,88
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,All Students,460,373,81
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Asian,68,60,88
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Black,130,108,83
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Economically Disadvantaged,130,106,82
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,English Learners,72,56,78
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Female,230,198,86
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Hispanic,91,64,70
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Male,230,175,76
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Multiple Races,27,22,81
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,Students with Disabilities,39,25,64
2019,SCH,Fairfax County Public Schools,Hayfield Secondary,White,143,118,83
2019,SCH,Fairfax County Public Schools,Herndon High,All Students,460,342,74
2019,SCH,Fairfax County Public Schools,Herndon High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Herndon High,Asian,75,68,91
2019,SCH,Fairfax County Public Schools,Herndon High,Black,35,27,77
2019,SCH,Fairfax County Public Schools,Herndon High,Economically Disadvantaged,165,98,59
2019,SCH,Fairfax County Public Schools,Herndon High,English Learners,120,55,46
2019,SCH,Fairfax County Public Schools,Herndon High,Female,233,183,79
2019,SCH,Fairfax County Public Schools,Herndon High,Hispanic,159,83,52
2019,SCH,Fairfax County Public Schools,Herndon High,Male,227,159,70
2019,SCH,Fairfax County Public Schools,Herndon High,Multiple Races,22,18,82
2019,SCH,Fairfax County Public Schools,Herndon High,Students with Disabilities,59,37,63
2019,SCH,Fairfax County Public Schools,Herndon High,White,165,144,87
2019,SCH,Fairfax County Public Schools,Justice High,All Students,453,299,66
2019,SCH,Fairfax County Public Schools,Justice High,Asian,68,55,81
2019,SCH,Fairfax County Public Schools,Justice High,Black,42,37,88
2019,SCH,Fairfax County Public Schools,Justice High,Economically Disadvantaged,283,179,63
2019,SCH,Fairfax County Public Schools,Justice High,English Learners,202,97,48
2019,SCH,Fairfax County Public Schools,Justice High,Female,237,173,73
2019,SCH,Fairfax County Public Schools,Justice High,Hispanic,212,98,46
2019,SCH,Fairfax County Public Schools,Justice High,Male,216,126,58
2019,SCH,Fairfax County Public Schools,Justice High,Multiple Races,13,11,85
2019,SCH,Fairfax County Public Schools,Justice High,Students with Disabilities,62,32,52
2019,SCH,Fairfax County Public Schools,Justice High,White,118,98,83
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,All Students,645,564,87
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Asian,134,122,91
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Black,49,45,92
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Economically Disadvantaged,99,86,87
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,English Learners,76,56,74
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Female,317,286,90
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Hispanic,117,97,83
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Male,328,278,85
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Multiple Races,41,37,90
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Students with Disabilities,90,67,74
2019,SCH,Fairfax County Public Schools,Lake Braddock Secondary,White,303,262,86
2019,SCH,Fairfax County Public Schools,Langley High,All Students,468,418,89
2019,SCH,Fairfax County Public Schools,Langley High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Langley High,Asian,100,88,88
2019,SCH,Fairfax County Public Schools,Langley High,Black,<,<,<
2019,SCH,Fairfax County Public Schools,Langley High,Economically Disadvantaged,19,16,84
2019,SCH,Fairfax County Public Schools,Langley High,English Learners,19,16,84
2019,SCH,Fairfax County Public Schools,Langley High,Female,235,209,89
2019,SCH,Fairfax County Public Schools,Langley High,Hispanic,21,19,90
2019,SCH,Fairfax County Public Schools,Langley High,Male,233,209,90
2019,SCH,Fairfax County Public Schools,Langley High,Multiple Races,28,24,86
2019,SCH,Fairfax County Public Schools,Langley High,Students with Disabilities,39,34,87
2019,SCH,Fairfax County Public Schools,Langley High,White,313,282,90
2019,SCH,Fairfax County Public Schools,Lewis High,All Students,389,278,71
2019,SCH,Fairfax County Public Schools,Lewis High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Lewis High,Asian,106,98,92
2019,SCH,Fairfax County Public Schools,Lewis High,Black,44,33,75
2019,SCH,Fairfax County Public Schools,Lewis High,Economically Disadvantaged,225,146,65
2019,SCH,Fairfax County Public Schools,Lewis High,English Learners,139,72,52
2019,SCH,Fairfax County Public Schools,Lewis High,Female,195,150,77
2019,SCH,Fairfax County Public Schools,Lewis High,Hispanic,170,96,56
2019,SCH,Fairfax County Public Schools,Lewis High,Male,194,128,66
2019,SCH,Fairfax County Public Schools,Lewis High,Multiple Races,10,<,<
2019,SCH,Fairfax County Public Schools,Lewis High,Students with Disabilities,59,32,54
2019,SCH,Fairfax County Public Schools,Lewis High,White,57,44,77
2019,SCH,Fairfax County Public Schools,Madison High,All Students,514,470,91
2019,SCH,Fairfax County Public Schools,Madison High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Madison High,Asian,72,67,93
2019,SCH,Fairfax County Public Schools,Madison High,Black,<,<,<
2019,SCH,Fairfax County Public Schools,Madison High,Economically Disadvantaged,49,37,76
2019,SCH,Fairfax County Public Schools,Madison High,English Learners,31,19,61
2019,SCH,Fairfax County Public Schools,Madison High,Female,256,236,92
2019,SCH,Fairfax County Public Schools,Madison High,Hispanic,46,31,67
2019,SCH,Fairfax County Public Schools,Madison High,Male,258,234,91
2019,SCH,Fairfax County Public Schools,Madison High,Multiple Races,39,37,95
2019,SCH,Fairfax County Public Schools,Madison High,Students with Disabilities,53,43,81
2019,SCH,Fairfax County Public Schools,Madison High,White,346,324,94
2019,SCH,Fairfax County Public Schools,Marshall High,All Students,501,413,82
2019,SCH,Fairfax County Public Schools,Marshall High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Marshall High,Asian,111,94,85
2019,SCH,Fairfax County Public Schools,Marshall High,Black,27,26,96
2019,SCH,Fairfax County Public Schools,Marshall High,Economically Disadvantaged,79,56,71
2019,SCH,Fairfax County Public Schools,Marshall High,English Learners,75,40,53
2019,SCH,Fairfax County Public Schools,Marshall High,Female,248,209,84
2019,SCH,Fairfax County Public Schools,Marshall High,Hispanic,79,50,63
2019,SCH,Fairfax County Public Schools,Marshall High,Male,253,204,81
2019,SCH,Fairfax County Public Schools,Marshall High,Multiple Races,31,28,90
2019,SCH,Fairfax County Public Schools,Marshall High,Students with Disabilities,46,31,67
2019,SCH,Fairfax County Public Schools,Marshall High,White,251,213,85
2019,SCH,Fairfax County Public Schools,McLean High,All Students,522,452,87
2019,SCH,Fairfax County Public Schools,McLean High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,McLean High,Asian,124,100,81
2019,SCH,Fairfax County Public Schools,McLean High,Black,17,15,88
2019,SCH,Fairfax County Public Schools,McLean High,Economically Disadvantaged,40,35,88
2019,SCH,Fairfax County Public Schools,McLean High,English Learners,51,35,69
2019,SCH,Fairfax County Public Schools,McLean High,Female,245,220,90
2019,SCH,Fairfax County Public Schools,McLean High,Hispanic,52,45,87
2019,SCH,Fairfax County Public Schools,McLean High,Male,277,232,84
2019,SCH,Fairfax County Public Schools,McLean High,Multiple Races,28,27,96
2019,SCH,Fairfax County Public Schools,McLean High,Students with Disabilities,40,32,80
2019,SCH,Fairfax County Public Schools,McLean High,White,300,264,88
2019,SCH,Fairfax County Public Schools,Mount Vernon High,All Students,388,223,57
2019,SCH,Fairfax County Public Schools,Mount Vernon High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Asian,32,29,91
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Black,109,73,67
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Economically Disadvantaged,196,92,47
2019,SCH,Fairfax County Public Schools,Mount Vernon High,English Learners,116,43,37
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Female,184,111,60
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Hispanic,158,63,40
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Male,204,112,55
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Multiple Races,13,<,<
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Mount Vernon High,Students with Disabilities,65,29,45
2019,SCH,Fairfax County Public Schools,Mount Vernon High,White,74,49,66
2019,SCH,Fairfax County Public Schools,Mountain View High,All Students,74,25,34
2019,SCH,Fairfax County Public Schools,Mountain View High,Asian,16,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Black,10,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Economically Disadvantaged,32,11,34
2019,SCH,Fairfax County Public Schools,Mountain View High,English Learners,31,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Female,28,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Hispanic,30,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Male,46,17,37
2019,SCH,Fairfax County Public Schools,Mountain View High,Multiple Races,<,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,Students with Disabilities,<,<,<
2019,SCH,Fairfax County Public Schools,Mountain View High,White,17,<,<
2019,SCH,Fairfax County Public Schools,Oakton High,All Students,624,549,88
2019,SCH,Fairfax County Public Schools,Oakton High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Oakton High,Asian,200,175,88
2019,SCH,Fairfax County Public Schools,Oakton High,Black,32,29,91
2019,SCH,Fairfax County Public Schools,Oakton High,Economically Disadvantaged,83,66,80
2019,SCH,Fairfax County Public Schools,Oakton High,English Learners,81,60,74
2019,SCH,Fairfax County Public Schools,Oakton High,Female,309,278,90
2019,SCH,Fairfax County Public Schools,Oakton High,Hispanic,55,39,71
2019,SCH,Fairfax County Public Schools,Oakton High,Male,315,271,86
2019,SCH,Fairfax County Public Schools,Oakton High,Multiple Races,33,29,88
2019,SCH,Fairfax County Public Schools,Oakton High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,Oakton High,Students with Disabilities,58,42,72
2019,SCH,Fairfax County Public Schools,Oakton High,White,301,274,91
2019,SCH,Fairfax County Public Schools,Robinson Secondary,All Students,655,567,87
2019,SCH,Fairfax County Public Schools,Robinson Secondary,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Asian,90,81,90
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Black,36,32,89
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Economically Disadvantaged,74,53,72
2019,SCH,Fairfax County Public Schools,Robinson Secondary,English Learners,57,42,74
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Female,324,292,90
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Hispanic,94,71,76
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Male,331,275,83
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Multiple Races,37,32,86
2019,SCH,Fairfax County Public Schools,Robinson Secondary,Students with Disabilities,75,47,63
2019,SCH,Fairfax County Public Schools,Robinson Secondary,White,396,350,88
2019,SCH,Fairfax County Public Schools,South County High,All Students,505,424,84
2019,SCH,Fairfax County Public Schools,South County High,Asian,103,89,86
2019,SCH,Fairfax County Public Schools,South County High,Black,105,86,82
2019,SCH,Fairfax County Public Schools,South County High,Economically Disadvantaged,99,79,80
2019,SCH,Fairfax County Public Schools,South County High,English Learners,57,47,82
2019,SCH,Fairfax County Public Schools,South County High,Female,248,219,88
2019,SCH,Fairfax County Public Schools,South County High,Hispanic,83,63,76
2019,SCH,Fairfax County Public Schools,South County High,Male,257,205,80
2019,SCH,Fairfax County Public Schools,South County High,Multiple Races,28,28,100
2019,SCH,Fairfax County Public Schools,South County High,Students with Disabilities,68,51,75
2019,SCH,Fairfax County Public Schools,South County High,White,186,158,85
2019,SCH,Fairfax County Public Schools,South Lakes High,All Students,525,429,82
2019,SCH,Fairfax County Public Schools,South Lakes High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,South Lakes High,Asian,59,56,95
2019,SCH,Fairfax County Public Schools,South Lakes High,Black,61,50,82
2019,SCH,Fairfax County Public Schools,South Lakes High,Economically Disadvantaged,137,94,69
2019,SCH,Fairfax County Public Schools,South Lakes High,English Learners,73,49,67
2019,SCH,Fairfax County Public Schools,South Lakes High,Female,274,231,84
2019,SCH,Fairfax County Public Schools,South Lakes High,Hispanic,106,68,64
2019,SCH,Fairfax County Public Schools,South Lakes High,Male,251,198,79
2019,SCH,Fairfax County Public Schools,South Lakes High,Multiple Races,41,33,80
2019,SCH,Fairfax County Public Schools,South Lakes High,Students with Disabilities,80,55,69
2019,SCH,Fairfax County Public Schools,South Lakes High,White,255,221,87
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,All Students,443,414,93
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Asian,307,290,94
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Black,<,<,<
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Economically Disadvantaged,11,10,91
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,English Learners,<,<,<
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Female,169,157,93
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Hispanic,<,<,<
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Male,274,257,94
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Multiple Races,23,23,100
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Students with Disabilities,<,<,<
2019,SCH,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,White,97,87,90
2019,SCH,Fairfax County Public Schools,West Potomac High,All Students,592,418,71
2019,SCH,Fairfax County Public Schools,West Potomac High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,West Potomac High,Asian,38,34,89
2019,SCH,Fairfax County Public Schools,West Potomac High,Black,103,75,73
2019,SCH,Fairfax County Public Schools,West Potomac High,Economically Disadvantaged,228,132,58
2019,SCH,Fairfax County Public Schools,West Potomac High,English Learners,132,71,54
2019,SCH,Fairfax County Public Schools,West Potomac High,Female,301,223,74
2019,SCH,Fairfax County Public Schools,West Potomac High,Hispanic,170,75,44
2019,SCH,Fairfax County Public Schools,West Potomac High,Male,291,195,67
2019,SCH,Fairfax County Public Schools,West Potomac High,Multiple Races,23,15,65
2019,SCH,Fairfax County Public Schools,West Potomac High,Native Hawaiian,<,<,<
2019,SCH,Fairfax County Public Schools,West Potomac High,Students with Disabilities,81,49,60
2019,SCH,Fairfax County Public Schools,West Potomac High,White,255,218,85
2019,SCH,Fairfax County Public Schools,West Springfield High,All Students,506,442,87
2019,SCH,Fairfax County Public Schools,West Springfield High,Asian,86,77,90
2019,SCH,Fairfax County Public Schools,West Springfield High,Black,56,50,89
2019,SCH,Fairfax County Public Schools,West Springfield High,Economically Disadvantaged,70,53,76
2019,SCH,Fairfax County Public Schools,West Springfield High,English Learners,42,32,76
2019,SCH,Fairfax County Public Schools,West Springfield High,Female,241,218,90
2019,SCH,Fairfax County Public Schools,West Springfield High,Hispanic,79,61,77
2019,SCH,Fairfax County Public Schools,West Springfield High,Male,265,224,85
2019,SCH,Fairfax County Public Schools,West Springfield High,Multiple Races,28,25,89
2019,SCH,Fairfax County Public Schools,West Springfield High,Students with Disabilities,48,39,81
2019,SCH,Fairfax County Public Schools,West Springfield High,White,257,229,89
2019,SCH,Fairfax County Public Schools,Westfield High,All Students,585,493,84
2019,SCH,Fairfax County Public Schools,Westfield High,American Indian,<,<,<
2019,SCH,Fairfax County Public Schools,Westfield High,Asian,110,101,92
2019,SCH,Fairfax County Public Schools,Westfield High,Black,73,55,75
2019,SCH,Fairfax County Public Schools,Westfield High,Economically Disadvantaged,142,106,75
2019,SCH,Fairfax County Public Schools,Westfield High,English Learners,99,75,76
2019,SCH,Fairfax County Public Schools,Westfield High,Female,296,260,88
2019,SCH,Fairfax County Public Schools,Westfield High,Hispanic,108,76,70
2019,SCH,Fairfax County Public Schools,Westfield High,Male,289,233,81
