Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Carroll County Public Schools,Gladeville Elementary,Medium Poverty,All Schools,0,0,3.7,1,0,0
2023 - 2024,SCH,Carroll County Public Schools,Gladeville Elementary,Medium Poverty,Title I,0,0,3.7,1,0,0
2023 - 2024,SCH,Carroll County Public Schools,Hillsville Elementary,Medium Poverty,All Schools,0,0,2.9,1,0,0
2023 - 2024,SCH,Carroll County Public Schools,Hillsville Elementary,Medium Poverty,Title I,0,0,2.9,1,0,0
2023 - 2024,SCH,Carroll County Public Schools,Laurel Elementary,Medium Poverty,All Schools,3.2,1,6.5,2,3.2,1
2023 - 2024,SCH,Carroll County Public Schools,Laurel Elementary,Medium Poverty,Title I,3.2,1,6.5,2,3.2,1
2023 - 2024,SCH,Carroll County Public Schools,Oakland Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Carroll County Public Schools,Oakland Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Carroll County Public Schools,St. Paul,Medium Poverty,All Schools,4.2,1,8.3,2,4.2,1
2023 - 2024,SCH,Carroll County Public Schools,St. Paul,Medium Poverty,Title I,4.2,1,8.3,2,4.2,1
2023 - 2024,SCH,Charles City County Public Schools,Charles City County Elementary,High Poverty,All Schools,0,0,4.2,1,0,0
2023 - 2024,SCH,Charles City County Public Schools,Charles City County Elementary,High Poverty,Title I,0,0,4.2,1,0,0
2023 - 2024,SCH,Charles City County Public Schools,Charles City County High,High Poverty,All Schools,17.2,5,17.2,5,10.3,3
2023 - 2024,SCH,Charles City County Public Schools,Charles City County High,High Poverty,Title I,17.2,5,17.2,5,10.3,3
2023 - 2024,SCH,Charlotte County Public Schools,Bacon District Elementary,Medium Poverty,All Schools,0,0,7.1,1,0,0
2023 - 2024,SCH,Charlotte County Public Schools,Bacon District Elementary,Medium Poverty,Title I,0,0,7.1,1,0,0
2023 - 2024,SCH,Charlotte County Public Schools,Central Middle,Medium Poverty,All Schools,3,1,15.2,5,3,1
2023 - 2024,SCH,Charlotte County Public Schools,Central Middle,Medium Poverty,Non-Title I,3,1,15.2,5,3,1
2023 - 2024,SCH,Charlotte County Public Schools,Eureka Elementary,Medium Poverty,All Schools,0,0,3.6,1,0,0
2023 - 2024,SCH,Charlotte County Public Schools,Eureka Elementary,Medium Poverty,Title I,0,0,3.6,1,0,0
2023 - 2024,SCH,Charlotte County Public Schools,Phenix Elementary,Medium Poverty,All Schools,6.3,1,6.3,1,6.3,1
2023 - 2024,SCH,Charlotte County Public Schools,Phenix Elementary,Medium Poverty,Title I,6.3,1,6.3,1,6.3,1
2023 - 2024,SCH,Charlotte County Public Schools,Randolph-Henry High,Medium Poverty,All Schools,7.1,3,14.3,6,4.8,2
2023 - 2024,SCH,Charlotte County Public Schools,Randolph-Henry High,Medium Poverty,Non-Title I,7.1,3,14.3,6,4.8,2
2023 - 2024,SCH,Charlottesville City Public Schools,Buford Middle,Medium Poverty,All Schools,4.5,3,24.2,16,4.5,3
2023 - 2024,SCH,Charlottesville City Public Schools,Buford Middle,Medium Poverty,Non-Title I,4.5,3,24.2,16,4.5,3
2023 - 2024,SCH,Charlottesville City Public Schools,Burnley-Moran Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Charlottesville City Public Schools,Burnley-Moran Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Charlottesville City Public Schools,Charlottesville High,Medium Poverty,All Schools,4.2,5,10.1,12,2.5,3
2023 - 2024,SCH,Charlottesville City Public Schools,Charlottesville High,Medium Poverty,Non-Title I,4.2,5,10.1,12,2.5,3
2023 - 2024,SCH,Charlottesville City Public Schools,Greenbrier Elementary,Medium Poverty,All Schools,2.9,1,0,0,0,0
2023 - 2024,SCH,Charlottesville City Public Schools,Greenbrier Elementary,Medium Poverty,Title I,2.9,1,0,0,0,0
2023 - 2024,SCH,Charlottesville City Public Schools,Jackson-Via Elementary,High Poverty,All Schools,12.2,5,9.8,4,4.9,2
2023 - 2024,SCH,Charlottesville City Public Schools,Jackson-Via Elementary,High Poverty,Title I,12.2,5,9.8,4,4.9,2
2023 - 2024,SCH,Charlottesville City Public Schools,Johnson Elementary,Medium Poverty,All Schools,2.4,1,4.9,2,2.4,1
2023 - 2024,SCH,Charlottesville City Public Schools,Johnson Elementary,Medium Poverty,Title I,2.4,1,4.9,2,2.4,1
2023 - 2024,SCH,Charlottesville City Public Schools,Summit Elementary,High Poverty,All Schools,5.6,2,2.8,1,2.8,1
2023 - 2024,SCH,Charlottesville City Public Schools,Summit Elementary,High Poverty,Title I,5.6,2,2.8,1,2.8,1
2023 - 2024,SCH,Charlottesville City Public Schools,Trailblazer Elementary,Medium Poverty,All Schools,5.6,2,8.3,3,2.8,1
2023 - 2024,SCH,Charlottesville City Public Schools,Trailblazer Elementary,Medium Poverty,Title I,5.6,2,8.3,3,2.8,1
2023 - 2024,SCH,Charlottesville City Public Schools,Walker Upper Elementary,Medium Poverty,All Schools,7.6,5,18.2,12,7.6,5
2023 - 2024,SCH,Charlottesville City Public Schools,Walker Upper Elementary,Medium Poverty,Non-Title I,7.6,5,18.2,12,7.6,5
2023 - 2024,SCH,Chesapeake City Public Schools,B.M. Williams Primary,Medium Poverty,All Schools,2.9,2,4.3,3,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,B.M. Williams Primary,Medium Poverty,Title I,2.9,2,4.3,3,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Intermediate,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Intermediate,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Primary,Low Poverty,All Schools,7.1,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Primary,Low Poverty,Non-Title I,7.1,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Camelot Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Camelot Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Cedar Road Elementary,Low Poverty,All Schools,6.3,4,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Cedar Road Elementary,Low Poverty,Non-Title I,6.3,4,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Intermediate,Medium Poverty,All Schools,5.6,3,1.9,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Intermediate,Medium Poverty,Title I,5.6,3,1.9,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Middle,Medium Poverty,All Schools,7.3,4,1.8,1,1.8,1
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Middle,Medium Poverty,Non-Title I,7.3,4,1.8,1,1.8,1
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Central Elementary,Low Poverty,All Schools,5,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Central Elementary,Low Poverty,Non-Title I,5,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Elementary,Medium Poverty,All Schools,16.4,9,1.8,1,1.8,1
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Elementary,Medium Poverty,Non-Title I,16.4,9,1.8,1,1.8,1
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek High,Medium Poverty,All Schools,4,5,0.8,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek High,Medium Poverty,Non-Title I,4,5,0.8,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Middle,Medium Poverty,All Schools,2.7,2,2.7,2,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Middle,Medium Poverty,Non-Title I,2.7,2,2.7,2,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Edwin W. Chittum Elementary,Low Poverty,All Schools,5.3,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Edwin W. Chittum Elementary,Low Poverty,Non-Title I,5.3,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,G.A. Treakle Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,G.A. Treakle Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,George W. Carver Intermediate,Medium Poverty,All Schools,8.5,4,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,George W. Carver Intermediate,Medium Poverty,Title I,8.5,4,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Georgetown Primary,Medium Poverty,All Schools,6.3,4,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Georgetown Primary,Medium Poverty,Title I,6.3,4,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield Elementary,Low Poverty,All Schools,9.7,9,2.2,2,2.2,2
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield Elementary,Low Poverty,Non-Title I,9.7,9,2.2,2,2.2,2
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield High,Low Poverty,All Schools,1.9,3,0.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield High,Low Poverty,Non-Title I,1.9,3,0.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge High,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge High,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Intermediate,Low Poverty,All Schools,2.3,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Intermediate,Low Poverty,Non-Title I,2.3,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Middle,Low Poverty,All Schools,3.2,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Middle,Low Poverty,Non-Title I,3.2,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Primary,Low Poverty,All Schools,6.7,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Primary,Low Poverty,Non-Title I,6.7,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Intermediate,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Intermediate,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Middle,Medium Poverty,All Schools,2.5,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Middle,Medium Poverty,Non-Title I,2.5,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Primary,Medium Poverty,All Schools,4.2,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Primary,Medium Poverty,Non-Title I,4.2,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Elementary,Low Poverty,All Schools,6.7,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Elementary,Low Poverty,Non-Title I,6.7,3,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory High,Low Poverty,All Schools,4.8,6,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory High,Low Poverty,Non-Title I,4.8,6,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Middle,Low Poverty,All Schools,3.8,4,1,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Middle,Low Poverty,Non-Title I,3.8,4,1,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hugo A. Owens Middle,Low Poverty,All Schools,1.1,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Hugo A. Owens Middle,Low Poverty,Non-Title I,1.1,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River High,Medium Poverty,All Schools,5,7,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River High,Medium Poverty,Non-Title I,5,7,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River Middle,Medium Poverty,All Schools,2.9,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River Middle,Medium Poverty,Non-Title I,2.9,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Jolliff Middle,Medium Poverty,All Schools,9.2,6,1.5,1,1.5,1
2023 - 2024,SCH,Chesapeake City Public Schools,Jolliff Middle,Medium Poverty,Non-Title I,9.2,6,1.5,1,1.5,1
2023 - 2024,SCH,Chesapeake City Public Schools,Norfolk Highlands Primary,Medium Poverty,All Schools,7.1,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Norfolk Highlands Primary,Medium Poverty,Title I,7.1,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Medium Poverty,All Schools,4.3,8,1.6,3,1.1,2
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Medium Poverty,Non-Title I,4.3,8,1.6,3,1.1,2
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar Smith Middle,Medium Poverty,All Schools,7.2,7,5.2,5,2.1,2
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar Smith Middle,Medium Poverty,Title I,7.2,7,5.2,5,2.1,2
2023 - 2024,SCH,Chesapeake City Public Schools,Portlock Primary,Medium Poverty,All Schools,2.1,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Portlock Primary,Medium Poverty,Title I,2.1,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Rena B. Wright Primary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Rena B. Wright Primary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Southeastern Elementary,Low Poverty,All Schools,4.8,3,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Southeastern Elementary,Low Poverty,Non-Title I,4.8,3,1.6,1,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Southwestern Elementary,Medium Poverty,All Schools,4.3,2,6.5,3,2.2,1
2023 - 2024,SCH,Chesapeake City Public Schools,Southwestern Elementary,Medium Poverty,Title I,4.3,2,6.5,3,2.2,1
2023 - 2024,SCH,Chesapeake City Public Schools,Sparrow Road Intermediate,Medium Poverty,All Schools,22.5,9,7.5,3,2.5,1
2023 - 2024,SCH,Chesapeake City Public Schools,Sparrow Road Intermediate,Medium Poverty,Title I,22.5,9,7.5,3,2.5,1
2023 - 2024,SCH,Chesapeake City Public Schools,Thurgood Marshall Elementary,Medium Poverty,All Schools,4.5,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Thurgood Marshall Elementary,Medium Poverty,Title I,4.5,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Truitt Intermediate,Medium Poverty,All Schools,23.1,6,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Truitt Intermediate,Medium Poverty,Title I,23.1,6,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch High,Medium Poverty,All Schools,1.3,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch High,Medium Poverty,Non-Title I,1.3,2,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Intermediate,Medium Poverty,All Schools,1.8,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Intermediate,Medium Poverty,Non-Title I,1.8,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Middle,Medium Poverty,All Schools,1.4,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Middle,Medium Poverty,Non-Title I,1.4,1,0,0,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Primary,Medium Poverty,All Schools,8.3,5,5,3,0,0
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Primary,Medium Poverty,Non-Title I,8.3,5,5,3,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,A.M. Davis Elementary,Medium Poverty,All Schools,21.1,15,7,5,5.6,4
2023 - 2024,SCH,Chesterfield County Public Schools,A.M. Davis Elementary,Medium Poverty,Title I,21.1,15,7,5,5.6,4
2023 - 2024,SCH,Chesterfield County Public Schools,Alberta Smith Elementary,Low Poverty,All Schools,4.2,2,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Alberta Smith Elementary,Low Poverty,Non-Title I,4.2,2,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Bailey Bridge Middle,Low Poverty,All Schools,4.5,5,10.9,12,1.8,2
2023 - 2024,SCH,Chesterfield County Public Schools,Bailey Bridge Middle,Low Poverty,Non-Title I,4.5,5,10.9,12,1.8,2
2023 - 2024,SCH,Chesterfield County Public Schools,Bellwood Elementary,Medium Poverty,All Schools,10,5,6,3,6,3
2023 - 2024,SCH,Chesterfield County Public Schools,Bellwood Elementary,Medium Poverty,Title I,10,5,6,3,6,3
2023 - 2024,SCH,Chesterfield County Public Schools,Bensley Elementary,Medium Poverty,All Schools,14.7,10,4.4,3,2.9,2
2023 - 2024,SCH,Chesterfield County Public Schools,Bensley Elementary,Medium Poverty,Title I,14.7,10,4.4,3,2.9,2
2023 - 2024,SCH,Chesterfield County Public Schools,Bettie Weaver Elementary,Low Poverty,All Schools,2.3,1,2.3,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Bettie Weaver Elementary,Low Poverty,Non-Title I,2.3,1,2.3,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Beulah Elementary,Medium Poverty,All Schools,20,16,10,8,8.8,7
2023 - 2024,SCH,Chesterfield County Public Schools,Beulah Elementary,Medium Poverty,Title I,20,16,10,8,8.8,7
2023 - 2024,SCH,Chesterfield County Public Schools,Bon Air Elementary,Medium Poverty,All Schools,4.3,2,2.1,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Bon Air Elementary,Medium Poverty,Non-Title I,4.3,2,2.1,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,C.C. Wells Elementary,Medium Poverty,All Schools,12.8,6,10.6,5,10.6,5
2023 - 2024,SCH,Chesterfield County Public Schools,C.C. Wells Elementary,Medium Poverty,Non-Title I,12.8,6,10.6,5,10.6,5
2023 - 2024,SCH,Chesterfield County Public Schools,C.E. Curtis Elementary,Medium Poverty,All Schools,12.1,8,6.1,4,3,2
2023 - 2024,SCH,Chesterfield County Public Schools,C.E. Curtis Elementary,Medium Poverty,Title I,12.1,8,6.1,4,3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Medium Poverty,All Schools,2.1,1,4.3,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Medium Poverty,Non-Title I,2.1,1,4.3,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Carver Middle,Medium Poverty,All Schools,15.4,12,15.4,12,6.4,5
2023 - 2024,SCH,Chesterfield County Public Schools,Carver Middle,Medium Poverty,Non-Title I,15.4,12,15.4,12,6.4,5
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill Elementary,Low Poverty,All Schools,4.2,3,1.4,1,1.4,1
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill Elementary,Low Poverty,Non-Title I,4.2,3,1.4,1,1.4,1
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill High,Low Poverty,All Schools,3.9,5,2.4,3,0.8,1
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill High,Low Poverty,Non-Title I,3.9,5,2.4,3,0.8,1
2023 - 2024,SCH,Chesterfield County Public Schools,Cosby High,Low Poverty,All Schools,1.9,3,0.6,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Cosby High,Low Poverty,Non-Title I,1.9,3,0.6,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Crestwood Elementary,Medium Poverty,All Schools,11.9,7,3.4,2,3.4,2
2023 - 2024,SCH,Chesterfield County Public Schools,Crestwood Elementary,Medium Poverty,Title I,11.9,7,3.4,2,3.4,2
2023 - 2024,SCH,Chesterfield County Public Schools,Ecoff Elementary,Medium Poverty,All Schools,7.9,5,1.6,1,1.6,1
2023 - 2024,SCH,Chesterfield County Public Schools,Ecoff Elementary,Medium Poverty,Title I,7.9,5,1.6,1,1.6,1
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Davis Middle,Medium Poverty,All Schools,4.8,5,5.7,6,1,1
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Davis Middle,Medium Poverty,Non-Title I,4.8,5,5.7,6,1,1
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Scott Elementary,Medium Poverty,All Schools,13,9,18.8,13,8.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Scott Elementary,Medium Poverty,Title I,13,9,18.8,13,8.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Enon Elementary,Medium Poverty,All Schools,8.2,5,4.9,3,3.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Enon Elementary,Medium Poverty,Title I,8.2,5,4.9,3,3.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Ettrick Elementary,Medium Poverty,All Schools,6,3,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Ettrick Elementary,Medium Poverty,Title I,6,3,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Evergreen Elementary,Low Poverty,All Schools,12.5,9,6.9,5,5.6,4
2023 - 2024,SCH,Chesterfield County Public Schools,Evergreen Elementary,Low Poverty,Non-Title I,12.5,9,6.9,5,5.6,4
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Elementary,Medium Poverty,All Schools,27.6,24,20.7,18,18.4,16
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Elementary,Medium Poverty,Title I,27.6,24,20.7,18,18.4,16
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Middle,Medium Poverty,All Schools,13.5,15,13.5,15,8.1,9
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Middle,Medium Poverty,Title I,13.5,15,13.5,15,8.1,9
2023 - 2024,SCH,Chesterfield County Public Schools,Grange Hall Elementary,Low Poverty,All Schools,3.6,2,1.8,1,1.8,1
2023 - 2024,SCH,Chesterfield County Public Schools,Grange Hall Elementary,Low Poverty,Non-Title I,3.6,2,1.8,1,1.8,1
2023 - 2024,SCH,Chesterfield County Public Schools,Greenfield Elementary,Low Poverty,All Schools,2.3,1,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Greenfield Elementary,Low Poverty,Non-Title I,2.3,1,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Harrowgate Elementary,Medium Poverty,All Schools,9.1,4,6.8,3,4.5,2
2023 - 2024,SCH,Chesterfield County Public Schools,Harrowgate Elementary,Medium Poverty,Title I,9.1,4,6.8,3,4.5,2
2023 - 2024,SCH,Chesterfield County Public Schools,Hopkins Road Elementary,Medium Poverty,All Schools,10.4,8,3.9,3,2.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,Hopkins Road Elementary,Medium Poverty,Title I,10.4,8,3.9,3,2.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,J.A. Chalkley Elementary,Medium Poverty,All Schools,21.7,18,19.3,16,14.5,12
2023 - 2024,SCH,Chesterfield County Public Schools,J.A. Chalkley Elementary,Medium Poverty,Title I,21.7,18,19.3,16,14.5,12
2023 - 2024,SCH,Chesterfield County Public Schools,J.B. Watkins Elementary,Low Poverty,All Schools,3.3,2,1.6,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,J.B. Watkins Elementary,Low Poverty,Non-Title I,3.3,2,1.6,1,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,J.G. Hening Elementary,Medium Poverty,All Schools,23.2,19,26.8,22,20.7,17
2023 - 2024,SCH,Chesterfield County Public Schools,J.G. Hening Elementary,Medium Poverty,Title I,23.2,19,26.8,22,20.7,17
2023 - 2024,SCH,Chesterfield County Public Schools,Jacobs Road Elementary,Medium Poverty,All Schools,19.4,13,6,4,6,4
2023 - 2024,SCH,Chesterfield County Public Schools,Jacobs Road Elementary,Medium Poverty,Title I,19.4,13,6,4,6,4
2023 - 2024,SCH,Chesterfield County Public Schools,James River High,Low Poverty,All Schools,6.2,8,3.1,4,1.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,James River High,Low Poverty,Non-Title I,6.2,8,3.1,4,1.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Medium Poverty,All Schools,8.1,12,8.7,13,2.7,4
2023 - 2024,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Medium Poverty,Non-Title I,8.1,12,8.7,13,2.7,4
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester High,Medium Poverty,All Schools,8,14,5.1,9,3.4,6
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester High,Medium Poverty,Non-Title I,8,14,5.1,9,3.4,6
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester Middle,Medium Poverty,All Schools,6.8,6,4.5,4,2.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester Middle,Medium Poverty,Non-Title I,6.8,6,4.5,4,2.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Marguerite F. Christian Elementary,Medium Poverty,All Schools,16.1,9,12.5,7,10.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Marguerite F. Christian Elementary,Medium Poverty,Title I,16.1,9,12.5,7,10.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Elementary,Medium Poverty,All Schools,16.1,9,5.4,3,3.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Elementary,Medium Poverty,Title I,16.1,9,5.4,3,3.6,2
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca High,Medium Poverty,All Schools,4.2,5,9.2,11,3.3,4
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca High,Medium Poverty,Non-Title I,4.2,5,9.2,11,3.3,4
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Middle,Medium Poverty,All Schools,11.1,7,11.1,7,7.9,5
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Middle,Medium Poverty,Non-Title I,11.1,7,11.1,7,7.9,5
2023 - 2024,SCH,Chesterfield County Public Schools,Meadowbrook High,Medium Poverty,All Schools,12.8,20,10.9,17,6.4,10
2023 - 2024,SCH,Chesterfield County Public Schools,Meadowbrook High,Medium Poverty,Non-Title I,12.8,20,10.9,17,6.4,10
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian High,Low Poverty,All Schools,9.4,13,3.6,5,2.9,4
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian High,Low Poverty,Non-Title I,9.4,13,3.6,5,2.9,4
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian Middle,Low Poverty,All Schools,1,1,2,2,1,1
