Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Clarke County Public Schools,D.G. Cooley Elementary,60,Master's Degree
2023 - 2024,SCH,Clarke County Public Schools,D.G. Cooley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Clarke County Public Schools,Johnson-Williams Middle,33,Bachelor's Degree
2023 - 2024,SCH,Clarke County Public Schools,Johnson-Williams Middle,65,Master's Degree
2023 - 2024,SCH,Clarke County Public Schools,Johnson-Williams Middle,0,Doctoral Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach Elementary,19,Master's Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach Elementary,0,Doctoral Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach High,58,Bachelor's Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach High,32,Master's Degree
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach High,0,Doctoral Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights High,44,Bachelor's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights High,51,Master's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights High,0,Doctoral Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights Middle,63,Bachelor's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights Middle,38,Master's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights Middle,0,Doctoral Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Lakeview Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Lakeview Elementary,38,Master's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Lakeview Elementary,3,Doctoral Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,North Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,North Elementary,34,Master's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,North Elementary,7,Doctoral Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Tussing Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Tussing Elementary,44,Master's Degree
2023 - 2024,SCH,Colonial Heights City Public Schools,Tussing Elementary,0,Doctoral Degree
2023 - 2024,SCH,Craig County Public Schools,Craig County High,45,Bachelor's Degree
2023 - 2024,SCH,Craig County Public Schools,Craig County High,52,Master's Degree
2023 - 2024,SCH,Craig County Public Schools,Craig County High,0,Doctoral Degree
2023 - 2024,SCH,Craig County Public Schools,McCleary Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Craig County Public Schools,McCleary Elementary,43,Master's Degree
2023 - 2024,SCH,Craig County Public Schools,McCleary Elementary,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,A.G. Richardson Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,A.G. Richardson Elementary,48,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,A.G. Richardson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper County High,47,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper County High,43,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper County High,3,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper Middle,57,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper Middle,39,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper Middle,1,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Eastern View High,50,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Eastern View High,39,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Eastern View High,2,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Emerald Hill Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Emerald Hill Elementary,42,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Emerald Hill Elementary,2,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Farmington Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Farmington Elementary,50,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Farmington Elementary,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Floyd T. Binns Middle,61,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Floyd T. Binns Middle,37,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Floyd T. Binns Middle,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Pearl Sample Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Pearl Sample Elementary,55,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Pearl Sample Elementary,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Sycamore Park Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Sycamore Park Elementary,35,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Sycamore Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Culpeper County Public Schools,Yowell Elementary,54,Bachelor's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Yowell Elementary,42,Master's Degree
2023 - 2024,SCH,Culpeper County Public Schools,Yowell Elementary,0,Doctoral Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Elementary,62,Bachelor's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Elementary,36,Master's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Elementary,2,Doctoral Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland High,36,Bachelor's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland High,50,Master's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland High,6,Doctoral Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Middle,41,Bachelor's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Middle,46,Master's Degree
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Middle,5,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Edwin A. Gibson Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Edwin A. Gibson Elementary,31,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Edwin A. Gibson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Forest Hills Elementary,61,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Forest Hills Elementary,39,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Forest Hills Elementary,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,G.L.H. Johnson Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,G.L.H. Johnson Elementary,35,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,G.L.H. Johnson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Galileo Magnet High,64,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Galileo Magnet High,36,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Galileo Magnet High,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,George Washington High,48,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,George Washington High,39,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,George Washington High,2,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,O. Trent Bonner Middle,48,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,O. Trent Bonner Middle,46,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,O. Trent Bonner Middle,2,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Park Avenue Elementary,66,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Park Avenue Elementary,34,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Park Avenue Elementary,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,R.I.S.E Academy at the John M. Langston Campus,0,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,R.I.S.E Academy at the John M. Langston Campus,75,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,R.I.S.E Academy at the John M. Langston Campus,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Schoolfield Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Schoolfield Elementary,35,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Schoolfield Elementary,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Westwood Middle,52,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Westwood Middle,35,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Westwood Middle,0,Doctoral Degree
2023 - 2024,SCH,Danville City Public Schools,Woodberry Hills Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Danville City Public Schools,Woodberry Hills Elementary,45,Master's Degree
2023 - 2024,SCH,Danville City Public Schools,Woodberry Hills Elementary,0,Doctoral Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Elementary ,75,Bachelor's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Elementary ,20,Master's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Elementary ,0,Doctoral Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview High,53,Bachelor's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview High,36,Master's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview High,1,Doctoral Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Middle,62,Bachelor's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Middle,34,Master's Degree
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Middle,1,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County High,50,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County High,45,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County High,2,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County Middle,59,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County Middle,35,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County Middle,3,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie Elementary,47,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie Elementary,49,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie Elementary,2,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Midway Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Midway Elementary,45,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Midway Elementary,0,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Southside Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Southside Elementary,58,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Southside Elementary,0,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sunnyside Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sunnyside Elementary,58,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sunnyside Elementary,0,Doctoral Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sutherland Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sutherland Elementary,45,Master's Degree
2023 - 2024,SCH,Dinwiddie County Public Schools,Sutherland Elementary,0,Doctoral Degree
2023 - 2024,SCH,Essex County Public Schools,Essex High,47,Bachelor's Degree
2023 - 2024,SCH,Essex County Public Schools,Essex High,50,Master's Degree
2023 - 2024,SCH,Essex County Public Schools,Essex High,0,Doctoral Degree
2023 - 2024,SCH,Essex County Public Schools,James H. Cary Intermediate ,49,Bachelor's Degree
2023 - 2024,SCH,Essex County Public Schools,James H. Cary Intermediate ,46,Master's Degree
2023 - 2024,SCH,Essex County Public Schools,James H. Cary Intermediate ,0,Doctoral Degree
2023 - 2024,SCH,Essex County Public Schools,Tappahannock Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Essex County Public Schools,Tappahannock Elementary,41,Master's Degree
2023 - 2024,SCH,Essex County Public Schools,Tappahannock Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Aldrin Elementary,23,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Aldrin Elementary,72,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Aldrin Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale High,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale High,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale High,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale Terrace Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale Terrace Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Annandale Terrace Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Archer Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Archer Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Archer Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Armstrong Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Armstrong Elementary,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Armstrong Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,75,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Beech Tree Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Beech Tree Elementary,58,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Beech Tree Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belle View Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belle View Elementary,60,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belle View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belvedere Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belvedere Elementary,62,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Belvedere Elementary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bonnie Brae Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bonnie Brae Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bonnie Brae Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Braddock Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Braddock Elementary,60,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Braddock Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bren Mar Park Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bren Mar Park Elementary,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bren Mar Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Brookfield Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Brookfield Elementary,66,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Brookfield Elementary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bryant High,15,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bryant High,77,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bryant High,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bucknell Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bucknell Elementary,72,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bucknell Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bull Run Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bull Run Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bull Run Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bush Hill Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bush Hill Elementary,52,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Bush Hill Elementary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Camelot Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Camelot Elementary,61,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Camelot Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cameron Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cameron Elementary,61,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cameron Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Canterbury Woods Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Canterbury Woods Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Canterbury Woods Elementary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cardinal Forest Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cardinal Forest Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cardinal Forest Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Carson Middle,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Carson Middle,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Carson Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centre Ridge Elementary,21,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centre Ridge Elementary,78,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centre Ridge Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville Elementary,23,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville Elementary,75,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville High,19,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville High,77,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Centreville High,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chantilly High,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chantilly High,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chantilly High,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cherry Run Elementary,9,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cherry Run Elementary,87,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cherry Run Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chesterbrook Elementary,18,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chesterbrook Elementary,78,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Chesterbrook Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Churchill Road Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Churchill Road Elementary,66,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Churchill Road Elementary,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clearview Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clearview Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clearview Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clermont Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clermont Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Clermont Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Coates Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Coates Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Coates Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Columbia Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Columbia Elementary,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Columbia Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Colvin Run Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Colvin Run Elementary,78,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Colvin Run Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cooper Middle,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cooper Middle,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cooper Middle,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crestwood Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crestwood Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crestwood Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crossfield Elementary,20,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crossfield Elementary,78,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Crossfield Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cub Run Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cub Run Elementary,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cub Run Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cunningham Park Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cunningham Park Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Cunningham Park Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Daniels Run Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Daniels Run Elementary,75,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Daniels Run Elementary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Deer Park Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Deer Park Elementary,76,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Deer Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dogwood Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dogwood Elementary,74,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dogwood Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dranesville Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dranesville Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Dranesville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Eagle View Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Eagle View Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Eagle View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Edison High,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Edison High,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Edison High,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax County Adult High,19,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax County Adult High,81,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax County Adult High,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax High,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax High,72,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax High,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax Villa Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax Villa Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairfax Villa Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairhill Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairhill Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairhill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairview Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairview Elementary,52,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fairview Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Falls Church High,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Falls Church High,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Falls Church High,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Flint Hill Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Flint Hill Elementary,58,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Flint Hill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Floris Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Floris Elementary,72,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Floris Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forest Edge Elementary,31,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forest Edge Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forest Edge Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forestdale Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forestdale Elementary,60,Master's Degree
